,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,61,115,13591,6776,246,6/30,10/80,27.54,2.99,55.2,13,8,1
ODIs,79,79,4290,3632,147,7/34,7/34,24.70,5.07,29.1,5,5,0
T20Is,25,25,551,784,37,4/34,4/34,21.18,8.53,14.8,1,0,0
First-class,94,169,19213,9437,354,6/30,10/80,26.65,2.94,54.2,15,16,1
List A,108,106,5729,4861,189,7/34,7/34,25.71,5.09,30.3,7,5,0
T20s,89,89,1919,2693,99,4/34,4/34,27.20,8.42,19.3,1,0,0
