,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,31,1,6,17,0,-,-,-,17.00,-,0,0,0
T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-
First-class,111,,3516,2132,50,4/16,5/50,42.64,3.63,70.3,3,0,0
List A,186,,1482,1345,40,4/39,4/39,33.62,5.44,37.0,1,0,0
T20s,229,67,931,1221,38,4/32,4/32,32.13,7.86,24.5,1,0,0
