,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,12,12,598,508,19,4/34,4/34,26.73,5.09,31.4,1,0,0
T20Is,2,2,48,55,3,2/23,2/23,18.33,6.87,16.0,0,0,0
First-class,86,140,15531,7174,261,7/50,10/78,27.48,2.77,59.5,9,15,1
List A,110,109,5461,4308,187,5/29,5/29,23.03,4.73,29.2,5,3,0
T20s,130,129,2608,3407,136,4/14,4/14,25.05,7.83,19.1,2,0,0
