,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,9,8,343,413,15,5/21,5/21,27.53,7.22,22.8,0,1,0
T20Is,7,7,150,241,5,2/21,2/21,48.20,9.64,30.0,0,0,0
First-class,8,15,971,591,17,3/66,3/63,34.76,3.65,57.1,0,0,0
List A,19,18,757,878,27,5/21,5/21,32.51,6.95,28.0,0,1,0
T20s,21,21,450,663,28,3/31,3/31,23.67,8.84,16.0,0,0,0
