,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,2,0
First-class,3,4,1,58,30*,19.33,163,35.58,0,0,8,1,1,0
List A,41,25,8,564,124*,33.17,588,95.91,1,1,52,16,12,0
T20s,104,78,31,794,41*,16.89,645,123.10,0,0,55,33,35,0
