,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,114,191,18,8765,278*,50.66,16077,54.51,22,46,1024,64,222,5
ODIs,228,218,39,9577,176,53.50,9473,101.09,25,53,840,204,176,5
T20Is,78,75,11,1672,79*,26.12,1237,135.16,0,10,140,60,65,7
First-class,141,238,23,10689,278*,49.71,19026,56.18,25,60,,,275,6
List A,263,252,44,11123,176,53.47,,,29,63,,,203,5
T20s,278,260,52,7489,133*,36.00,5047,148.38,4,49,617,341,188,16
