,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,11,13,3,63,21*,6.30,70,90.00,0,0,7,4,4,0
List A,19,8,3,19,18*,3.80,21,90.47,0,0,0,3,5,0
T20s,13,2,2,19,18*,-,10,190.00,0,0,0,2,2,0
