,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,17,26,4,820,105,37.27,924,88.74,1,5,80,29,11,0
ODIs,28,21,6,443,74*,29.53,401,110.47,0,1,31,22,8,0
T20Is,25,23,7,261,50,16.31,177,147.45,0,1,13,16,12,0
First-class,103,168,23,5328,144*,36.74,7304,72.94,12,31,,,100,0
List A,129,114,16,2517,151,25.68,,,2,7,,,55,0
T20s,176,155,40,2833,72*,24.63,1708,165.86,0,9,206,174,76,0
