,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,41,7,3,34,18*,8.50,67,50.74,0,0,5,0,10,0
T20Is,31,3,2,4,3*,4.00,9,44.44,0,0,0,0,7,0
First-class,31,47,10,324,42,8.75,1084,29.88,0,0,38,2,11,0
List A,80,27,12,202,24*,13.46,317,63.72,0,0,20,1,18,0
T20s,141,28,17,53,10,4.81,95,55.78,0,0,1,0,36,0
