,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,23,37,3,1541,194,45.32,2839,54.27,5,6,188,10,12,0
List A,44,38,7,1384,143,44.64,1403,98.64,4,8,133,27,20,0
T20s,61,55,14,954,80,23.26,800,119.25,0,4,79,26,25,0
