,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,77,131,8,6613,243,53.76,11549,57.26,25,20,731,19,72,0
ODIs,227,219,37,10843,183,59.57,11664,92.96,41,49,1019,116,111,0
T20Is,67,62,17,2263,90*,50.28,1647,137.40,0,20,223,54,33,0
First-class,109,179,15,8862,243,54.03,15452,57.35,32,28,1044,34,103,0
List A,261,252,40,12285,183,57.94,13200,93.06,45,57,1183,140,129,0
T20s,256,242,46,7983,113,40.72,5991,133.24,4,58,736,251,115,0
