,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,43,43,18,223,42*,8.92,514,43.38,0,0,29,2,12,0
List A,37,16,9,92,25,13.14,185,49.72,0,0,8,2,7,0
T20s,24,6,4,12,3*,6.00,22,54.54,0,0,0,0,6,0
