,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0
T20Is,3,-,-,-,-,-,-,-,-,-,-,-,1,0
First-class,25,31,3,171,26,6.10,403,42.43,0,0,23,1,4,0
List A,32,20,8,110,36*,9.16,127,86.61,0,0,11,3,2,0
T20s,44,12,5,36,14,5.14,38,94.73,0,0,3,1,17,0
