,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,27,18,6,154,34,12.83,190,81.05,0,0,12,2,7,0
T20Is,28,15,4,150,34,13.63,120,125.00,0,0,10,10,13,0
First-class,37,56,3,994,64,18.75,1389,71.56,0,3,125,23,24,0
List A,68,45,13,574,62,17.93,629,91.25,0,2,60,11,27,0
T20s,108,62,25,556,42*,15.02,422,131.75,0,0,35,36,35,0
