,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,14,13,2,251,59,22.81,291,86.25,0,1,26,6,16,3
T20Is,9,9,2,156,69,22.28,107,145.79,0,1,8,11,8,0
First-class,65,101,14,3946,201,45.35,6184,63.80,10,16,453,90,214,13
List A,64,59,10,1620,127,33.06,1811,89.45,1,12,135,38,78,12
T20s,66,61,19,1231,77*,29.30,886,138.93,0,6,79,54,36,16
