,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,11,15,0,490,99,32.66,922,53.14,0,5,55,10,6,0
List A,17,16,6,575,126*,57.50,673,85.43,2,3,50,17,9,0
T20s,13,10,3,120,24,17.14,110,109.09,0,0,10,3,3,0
