,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,33,31,6,963,146*,38.52,1030,93.49,1,6,75,36,9,0
T20Is,19,14,5,136,33*,15.11,117,116.23,0,0,14,2,7,0
First-class,53,91,6,2857,170,33.61,5352,53.38,4,19,359,33,21,0
List A,75,69,9,2090,146*,34.83,2417,86.47,3,14,171,74,23,0
T20s,88,75,18,1545,99,27.10,1250,123.60,0,7,129,39,25,0
