,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,37,38,2342,1223,33,5/42,6/61,37.06,3.13,70.9,1,1,0
List A,51,31,638,602,12,2/7,2/7,50.16,5.66,53.1,0,0,0
T20s,47,18,196,267,5,2/30,2/30,53.40,8.17,39.2,0,0,0
