,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,114,5,204,104,2,2/49,2/49,52.00,3.05,102.0,0,0,0
ODIs,228,9,192,202,7,2/15,2/15,28.85,6.31,27.4,0,0,0
T20Is,78,-,-,-,-,-,-,-,-,-,-,-,-
First-class,141,,234,138,2,2/49,,69.00,3.53,117.0,0,0,0
List A,263,,192,202,7,2/15,2/15,28.85,6.31,27.4,0,0,0
T20s,278,-,-,-,-,-,-,-,-,-,-,-,-
