,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,14,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-
First-class,65,3,88,50,2,1/12,1/12,25.00,3.40,44.0,0,0,0
List A,64,7,144,140,5,2/38,2/38,28.00,5.83,28.8,0,0,0
T20s,66,4,36,54,1,1/12,1/12,54.00,9.00,36.0,0,0,0
