,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,23,14,402,202,7,2/7,2/16,28.85,3.01,57.4,0,0,0
List A,44,14,360,327,13,3/44,3/44,25.15,5.45,27.6,0,0,0
T20s,62,18,249,319,15,3/20,3/20,21.26,7.68,16.6,0,0,0
