,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,32,30,1156,1182,26,3/16,3/16,45.46,6.13,44.4,0,0,0
T20Is,19,15,230,319,9,2/27,2/27,35.44,8.32,25.5,0,0,0
First-class,53,73,4016,2203,52,4/73,7/145,42.36,3.29,77.2,2,0,0
List A,74,60,2166,2023,52,4/43,4/43,38.90,5.60,41.6,1,0,0
T20s,87,70,1066,1546,59,4/15,4/15,26.20,8.70,18.0,3,0,0
