,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,11,20,2010,1092,28,4/40,6/104,39.00,3.25,71.7,2,0,0
List A,19,19,919,735,46,6/31,6/31,15.97,4.79,19.9,2,2,0
T20s,13,13,287,350,16,4/26,4/26,21.87,7.31,17.9,1,0,0
