,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,1,1,18,16,1,1/16,1/16,16.00,5.33,18.0,0,0,0
First-class,3,5,156,96,4,2/12,2/12,24.00,3.69,39.0,0,0,0
List A,41,38,1660,1397,48,3/29,3/29,29.10,5.04,34.5,0,0,0
T20s,104,93,1688,2034,88,5/22,5/22,23.11,7.22,19.1,1,1,0
