,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,43,75,7227,3388,120,6/32,7/79,28.23,2.81,60.2,4,3,0
List A,37,37,1933,1617,57,4/30,4/30,28.36,5.01,33.9,2,0,0
T20s,24,24,549,604,19,3/28,3/28,31.78,6.60,28.8,0,0,0
