,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,17,31,2447,1027,33,6/41,7/64,31.12,2.51,74.1,1,1,0
ODIs,28,28,990,834,18,3/26,3/26,46.33,5.05,55.0,0,0,0
T20Is,25,16,263,391,10,2/22,2/22,39.10,8.92,26.3,0,0,0
First-class,103,161,10749,4925,166,6/24,7/64,29.66,2.74,64.7,5,2,0
List A,129,,3542,3079,70,4/37,4/37,43.98,5.21,50.6,2,0,0
T20s,177,116,1570,2452,65,3/4,3/4,37.72,9.37,24.1,0,0,0
