,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,65,121,14510,7378,244,7/64,10/108,30.23,3.05,59.4,12,8,1
ODIs,139,137,6967,6303,185,7/33,7/33,34.07,5.42,37.6,4,3,0
T20Is,58,56,1224,1748,67,5/18,5/18,26.08,8.56,18.2,0,1,0
First-class,101,185,21056,10616,387,8/27,10/108,27.43,3.02,54.4,17,17,1
List A,153,151,7694,6950,204,7/33,7/33,34.06,5.41,37.7,4,3,0
T20s,169,165,3611,4992,183,6/16,6/16,27.27,8.29,19.7,0,2,0
