,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,9,14,1443,632,28,7/53,7/84,22.57,2.62,51.5,0,2,0
List A,18,18,774,612,23,3/21,3/21,26.60,4.74,33.6,0,0,0
T20s,17,16,222,325,14,3/27,3/27,23.21,8.78,15.8,0,0,0
