,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,20,23,9,130,29*,9.28,235,55.31,0,0,18,1,8,0
ODIs,98,32,14,146,29,8.11,209,69.85,0,0,21,1,23,0
T20Is,38,4,3,19,9*,19.00,18,105.55,0,0,1,1,7,0
First-class,194,246,62,2617,77*,14.22,,,0,4,,,82,0
List A,227,73,24,465,41*,9.48,,,0,0,,,54,0
T20s,235,44,24,200,23,10.00,186,107.52,0,0,15,8,54,0
