,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,40,71,1,2200,113,31.42,4527,48.59,3,13,269,21,41,0
ODIs,164,141,24,2968,112*,25.36,3606,82.30,2,10,240,58,73,0
T20Is,66,59,12,1142,66*,24.29,981,116.41,0,4,67,49,35,0
First-class,100,180,7,5302,197,30.64,,,8,30,,,89,0
List A,227,198,30,4046,112*,24.08,,,2,13,,,105,0
T20s,441,359,100,6249,70*,24.12,4919,127.03,0,20,408,298,217,0
