,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,61,105,1,3982,167,38.28,8601,46.29,12,15,467,33,49,0
ODIs,17,16,0,339,72,21.18,506,66.99,0,1,33,3,9,0
T20Is,9,9,0,169,48,18.77,154,109.74,0,0,13,8,3,0
First-class,131,220,7,9116,266,42.79,18471,49.35,25,38,1112,107,112,0
List A,86,85,2,3360,155,40.48,4206,79.88,7,18,323,73,39,0
T20s,158,156,5,4000,127,26.49,3252,123.00,3,22,370,143,63,0
