,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,58,98,14,3608,137,42.95,7834,46.05,9,19,438,17,53,0
ODIs,134,128,18,5120,185,46.54,5783,88.53,11,32,459,62,71,0
T20Is,44,44,6,1363,119,35.86,1006,135.48,1,8,126,45,21,0
First-class,138,228,26,8207,176,40.62,,,17,50,,,128,0
List A,252,235,40,9085,185,46.58,10150,89.50,20,54,,,136,0
T20s,192,176,19,4507,119,28.70,3545,127.13,1,26,404,127,88,0
