,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,26,9,5,31,11,7.75,66,46.96,0,0,5,0,6,0
T20Is,8,2,2,3,3*,-,7,42.85,0,0,0,0,1,0
First-class,44,62,13,640,49,13.06,1313,48.74,0,0,92,4,12,0
List A,62,25,12,181,24,13.92,244,74.18,0,0,16,4,23,0
T20s,111,34,17,142,21*,8.35,137,103.64,0,0,9,5,24,0
