,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,1,1,1,4,4*,-,12,33.33,0,0,0,0,0,0
ODIs,5,2,1,22,22*,22.00,16,137.50,0,0,0,2,3,0
T20Is,7,-,-,-,-,-,-,-,-,-,-,-,3,0
First-class,59,79,6,1113,87,15.24,1751,63.56,0,5,138,21,14,0
List A,50,32,9,289,40,12.56,268,107.83,0,0,24,12,14,0
T20s,66,16,5,74,15*,6.72,69,107.24,0,0,6,1,22,0
