,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,18,31,2,768,120,26.48,1445,53.14,1,7,100,4,23,0
ODIs,226,194,35,5615,116*,35.31,6005,93.50,5,36,476,120,102,0
T20Is,78,66,11,1605,101,29.18,1190,134.87,1,5,145,58,42,0
First-class,109,174,11,6871,204*,42.15,10931,62.85,14,45,,,118,0
List A,302,269,41,8078,129,35.42,8556,94.41,7,55,,,138,0
T20s,305,289,45,8094,126*,33.17,5835,138.71,4,48,726,304,161,0
