Team,Player,Mat,Balls,Runs,WKTS,BBM,Ave,Econ,SR,4W,5W
RR,Ben Stokes,27,528,707,23,3/15,30.73,8.03,22.95,0,0
RR,Oshane Thomas,-,-,-,-,-,-,-,-,-,-
RR,Rahul Tripathi,28,6,12,0,0/0,-,12.00,-,0,0
RR,Ashton Turner,-,-,-,-,-,-,-,-,-,-
RR,Manan Vohra,49,0,0,0,0/0,-,-,-,0,0
RR,Jaydev Unadkat,64,1318,1864,68,5/25,27.41,8.48,19.38,0,2
RCB,Virat Kohli,165,251,368,4,2/25,92.00,8.79,62.75,0,0
RCB,Akshdeep Nath,6,0,0,0,0/0,-,-,-,0,0
RCB,Moeen Ali,7,109,129,4,1/13,32.25,7.10,27.25,0,0
RCB,Yuzvendra Chahal,72,1539,1976,87,4/25,22.71,7.70,17.68,2,0
RCB,Nathan Coulter-Nile,26,563,719,36,4/20,19.97,7.66,15.63,1,0
RCB,Colin de Grandhomme,23,204,291,6,3/4,48.50,8.55,34.00,0,0
RCB,AB de Villiers,143,0,0,0,0/0,-,-,-,0,0
RCB,Shivam Dube,2,4,3,0,0/0,-,4.50,-,0,0
RCB,Gurkeerat Mann Singh,30,78,97,5,2/15,19.40,7.46,15.60,0,0
RCB,Shimron Hetmyer,2,0,0,0,0/0,-,-,-,0,0
RCB,Himmat Singh,-,-,-,-,-,-,-,-,-,-
RCB,Kulwant Khejroliya,3,65,107,2,2/33,53.50,9.87,32.50,0,0
RCB,Heinrich Klaasen,4,0,0,0,0/0,-,-,-,0,0
RCB,Milind Kumar,-,-,-,-,-,-,-,-,-,-
RCB,Mohammed Siraj,19,420,622,24,4/32,25.91,8.88,17.50,1,0
RCB,Pawan Negi,43,649,837,31,4/18,27.00,7.73,20.93,1,0
RCB,Devdutt Padikkal,-,-,-,-,-,-,-,-,-,-
RCB,Parthiv Patel,127,0,0,0,0/0,-,-,-,0,0
RCB,Prayas Ray Barman,-,-,-,-,-,-,-,-,-,-
RCB,Navdeep Saini,2,48,64,0,0/0,-,8.00,-,0,0
RCB,Tim Southee,37,834,1175,27,3/24,43.51,8.45,30.88,0,0
RCB,Marcus Stoinis,19,267,424,13,4/15,32.61,9.52,20.53,1,0
RCB,Washington Sundar,18,300,377,12,3/16,31.41,7.54,25.00,0,0
RCB,Umesh Yadav,110,2295,3164,113,4/24,28.00,8.27,20.30,2,0
SRH,David Warner,116,0,0,0,0/0,-,-,-,0,0
SRH,Abhishek Sharma,3,0,0,0,0/0,-,-,-,0,0
SRH,Khaleel Ahmed,1,18,38,0,0/38,-,12.66,-,0,0
SRH,Jonny Bairstow,2,0,0,0,0/0,-,-,-,0,0
SRH,Basil Thampi,16,329,538,16,3/29,33.62,9.81,20.56,0,0
SRH,Ricky Bhui,1,0,0,0,0/0,-,-,-,0,0
SRH,Shreevats Goswami,29,0,0,0,0/0,-,-,-,0,0
SRH,Martin Guptill,10,0,0,0,0/0,-,-,-,0,0
SRH,Deepak Hooda,51,211,292,6,2/16,48.66,8.30,35.16,0,0
SRH,Siddarth Kaul,40,867,1210,44,4/29,27.50,8.37,19.70,1,0
SRH,Bhuvneshwar Kumar,104,2306,2785,120,5/19,23.20,7.24,19.21,2,1
SRH,Mohammad Nabi,5,96,105,3,1/13,35.00,6.56,32.00,0,0
SRH,Shahbaz Nadeem,62,1223,1516,41,3/16,36.97,7.43,29.82,0,0
SRH,T Natarajan,6,76,115,2,1/26,57.50,9.07,38.00,0,0
SRH,Manish Pandey,120,0,0,0,0/0,-,-,-,0,0
SRH,Yusuf Pathan,166,1141,1407,42,3/20,33.50,7.39,27.16,0,0
SRH,Rashid Khan,33,780,866,40,3/19,21.65,6.66,19.50,0,0
SRH,Wriddhiman Saha,115,0,0,0,0/0,-,-,-,0,0
SRH,Sandeep Sharma,70,1537,2000,84,4/20,23.80,7.80,18.29,2,0
SRH,Vijay Shankar,20,42,90,1,1/22,90.00,12.85,42.00,0,0
SRH,Shakib Al Hasan,61,1285,1599,58,3/17,27.56,7.46,22.15,0,0
SRH,Billy Stanlake,6,144,200,7,2/21,28.57,8.33,20.57,0,0
SRH,Kane Williamson,33,6,7,0,0/0,-,7.00,-,0,0
