,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,55,93,12774,6415,205,7/36,10/124,31.29,3.01,62.3,8,18,2
ODIs,195,192,9899,7333,247,5/47,5/47,29.68,4.44,40.0,8,1,0
T20Is,72,71,1571,1775,88,5/20,5/20,20.17,6.77,17.8,3,1,0
First-class,91,,18924,9190,305,7/32,,30.13,2.91,62.0,10,23,2
List A,239,235,11767,8661,307,5/18,5/18,28.21,4.41,38.3,13,2,0
T20s,296,290,6228,7137,345,6/6,6/6,20.68,6.87,18.0,8,4,0
