,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,32,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,9,-,-,-,-,-,-,-,-,-,-,-,-
First-class,108,-,-,-,-,-,-,-,-,-,-,-,-
List A,100,-,-,-,-,-,-,-,-,-,-,-,-
T20s,186,-,-,-,-,-,-,-,-,-,-,-,-
