,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,7,8,806,466,7,4/136,4/136,66.57,3.46,115.1,1,0,0
List A,13,12,450,377,5,2/51,2/51,75.40,5.02,90.0,0,0,0
T20s,3,-,-,-,-,-,-,-,-,-,-,-,-
