,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,72,61,2079,1163,29,4/44,4/44,40.10,3.35,71.6,1,0,0
ODIs,139,63,1377,1246,35,4/22,4/22,35.60,5.42,39.3,1,0,0
T20Is,57,12,118,164,6,2/16,2/16,27.33,8.33,19.6,0,0,0
First-class,139,136,6552,3677,85,5/75,5/59,43.25,3.36,77.0,1,1,0
List A,200,97,2666,2319,65,5/51,5/51,35.67,5.21,41.0,1,1,0
T20s,170,53,758,885,30,3/33,3/33,29.50,7.00,25.2,0,0,0
