,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,35,16,245,169,5,1/0,1/2,33.80,4.13,49.0,0,0,0
List A,32,3,55,52,2,2/8,2/8,26.00,5.67,27.5,0,0,0
T20s,34,1,18,18,0,-,-,-,6.00,-,0,0,0
