,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,106,,26048,11751,401,7/45,,29.30,2.70,64.9,26,16,4
List A,98,,5308,3767,143,8/10,8/10,26.34,4.25,37.1,3,4,0
T20s,115,113,2428,2745,97,3/16,3/16,28.29,6.78,25.0,0,0,0
