,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,19,30,7,1645,163*,71.52,2325,70.75,5,8,191,13,13,0
List A,24,23,5,775,91*,43.05,790,98.10,0,6,67,24,6,0
T20s,42,39,9,612,56*,20.40,427,143.32,0,2,58,21,24,0
