,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,3,3,0,6,4,2.00,23,26.08,0,0,1,0,1,0
ODIs,25,12,5,38,13*,5.42,58,65.51,0,0,3,0,9,0
T20Is,7,1,0,0,0,0.00,1,0.00,0,0,0,0,2,0
First-class,131,184,16,5370,156,31.96,,,6,36,,,58,0
List A,131,94,21,1571,93,21.52,1717,91.49,0,8,103,51,36,0
T20s,224,131,42,1288,45*,14.47,1029,125.17,0,0,112,49,62,0
