,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,46,42,6,934,86,25.94,1031,90.59,0,6,107,19,19,2
T20Is,13,12,2,249,50,24.90,211,118.00,0,1,26,6,2,0
First-class,136,227,6,9118,162,41.25,,,21,51,,,129,2
List A,189,183,11,6045,169,35.14,6480,93.28,14,31,,,107,9
T20s,241,234,21,6196,92,29.08,4606,134.52,0,36,633,214,115,39
