,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,2,2,0,16,9,8.00,32,50.00,0,0,2,0,0,0
First-class,9,16,2,1089,268,77.78,1409,77.28,3,7,135,13,6,0
List A,39,39,4,1591,123*,45.45,1874,84.89,4,7,163,26,14,0
T20s,24,21,9,358,70*,29.83,264,135.60,0,2,34,11,8,0
