,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,30,45,2,1765,174,41.04,3276,53.87,4,7,242,19,21,0
List A,39,38,7,1196,107,38.58,1440,83.05,1,8,112,36,13,0
T20s,75,69,7,1672,97,26.96,1250,133.76,0,11,132,94,18,0
