,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,6,7,2,40,22*,8.00,92,43.47,0,0,4,1,2,0
ODIs,65,45,12,363,36,11.00,441,82.31,0,0,36,12,14,0
T20Is,48,20,8,147,30,12.25,116,126.72,0,0,13,5,7,0
First-class,13,18,6,213,40*,17.75,,,0,0,,,10,0
List A,96,67,16,606,51,11.88,,,0,1,,,22,0
T20s,316,173,39,1997,79,14.90,1356,147.27,0,6,189,119,68,0
