,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,1,1,0,2,2,2.00,9,22.22,0,0,0,0,1,0
ODIs,52,44,9,998,92*,28.51,765,130.45,0,4,91,54,11,0
T20Is,47,39,13,465,47,17.88,329,141.33,0,0,30,32,11,0
First-class,17,24,1,609,128,26.47,,,2,0,,,6,0
List A,89,75,18,1917,132*,33.63,,,2,8,,,22,0
T20s,290,242,59,4615,121*,25.21,2739,168.49,2,14,315,348,135,0
