,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,1,2,0,3,3,1.50,23,13.04,0,0,0,0,2,0
List A,23,21,2,640,78,33.68,653,98.00,0,5,43,26,25,5
T20s,39,35,9,765,95*,29.42,597,128.14,0,5,51,34,19,4
