,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,6,5,2,28,12,9.33,85,32.94,0,0,3,0,4,0
List A,1,1,1,0,0*,-,2,0.00,0,0,0,0,1,0
T20s,1,1,1,3,3*,-,1,300.00,0,0,0,0,0,0
