,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,4,4,0,75,44,18.75,89,84.26,0,0,5,3,3,0
T20Is,18,16,1,291,44,19.40,221,131.67,0,0,28,14,3,0
First-class,41,71,8,2743,250,43.53,4909,55.87,6,12,345,45,26,0
List A,50,50,6,1597,135,36.29,1654,96.55,2,12,144,65,24,0
T20s,152,145,19,4057,101,32.19,2866,141.55,1,27,321,230,48,0
