,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,8,3,1,9,5,4.50,17,52.94,0,0,1,0,1,0
T20Is,9,1,1,1,1*,-,1,100.00,0,0,0,0,2,0
First-class,3,2,2,20,18*,-,24,83.33,0,0,3,0,1,0
List A,28,7,2,10,5,2.00,34,29.41,0,0,1,0,5,0
T20s,25,5,4,5,3*,5.00,8,62.50,0,0,0,0,7,0
