,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,2,4,0,25,24,6.25,52,48.07,0,0,4,0,2,0
ODIs,111,99,11,2565,116,29.14,2942,87.18,1,13,159,83,50,0
T20Is,68,63,10,1161,89,21.90,800,145.12,0,3,78,66,37,0
First-class,34,55,4,1276,117,25.01,2467,51.72,2,5,136,40,20,0
List A,146,132,14,3569,146,30.24,3972,89.85,3,16,228,124,66,0
T20s,211,172,35,3100,89,22.62,2188,141.68,0,8,216,157,97,0
