,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,32,46,8,1164,117,30.63,2610,44.59,3,5,108,12,75,10
ODIs,9,5,2,41,16,13.66,56,73.21,0,0,5,0,17,1
First-class,108,167,28,5918,203*,42.57,12268,48.23,13,32,725,50,280,33
List A,100,88,25,2693,116,42.74,,,2,19,,,123,15
T20s,186,159,32,3146,129,24.77,2385,131.90,2,16,281,111,97,28
