,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,55,103,7,3807,217,39.65,6150,61.90,5,24,470,19,22,0
ODIs,195,183,24,5577,134*,35.07,6863,81.26,7,40,504,38,45,0
T20Is,72,72,9,1471,84,23.34,1196,122.99,0,8,152,32,18,0
First-class,91,167,14,5722,217,37.39,,,8,34,,,45,0
List A,239,225,26,6665,134*,33.49,7975,83.57,7,47,598,58,63,0
T20s,296,270,44,4754,86*,21.03,3894,122.08,0,18,445,120,74,0
