,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,9,5,0,165,46,33.00,171,96.49,0,0,14,4,5,0
T20Is,9,4,0,101,43,25.25,73,138.35,0,0,11,5,2,0
First-class,41,53,9,2099,111,47.70,4103,51.15,5,15,246,22,26,0
List A,67,55,11,1613,129,36.65,1744,92.48,2,8,133,33,27,0
T20s,69,54,16,1033,69,27.18,802,128.80,0,4,70,40,37,0
