,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,15,15,5,28,12,2.80,132,21.21,0,0,3,0,5,0
List A,4,1,1,7,7*,-,11,63.63,0,0,1,0,2,0
T20s,11,1,0,2,2,2.00,5,40.00,0,0,0,0,2,0
