,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
List A,4,4,1,127,63*,42.33,135,94.07,0,1,16,2,1,0
T20s,15,12,4,205,61,25.62,137,149.63,0,1,17,11,2,0
