,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,64,117,16,6199,239,61.37,11171,55.49,23,24,684,36,96,0
ODIs,108,94,12,3431,164,41.84,3973,86.35,8,19,289,31,62,0
T20Is,30,25,5,431,90,21.55,352,122.44,0,2,34,11,18,0
First-class,118,208,26,10424,239,57.27,18176,57.35,37,44,1217,81,174,0
List A,154,138,23,5226,164,45.44,5992,87.21,10,32,428,70,91,0
T20s,168,148,32,3411,101,29.40,2736,124.67,1,12,292,79,91,0
