,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,9,13,3,421,76*,42.10,849,49.58,0,4,42,12,6,0
List A,11,8,1,148,59*,21.14,220,67.27,0,1,12,3,6,0
T20s,12,6,2,43,15,10.75,54,79.62,0,0,2,0,4,0
