,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,9,3,1,0,0*,0.00,5,0.00,0,0,0,0,0,0
T20Is,7,3,1,8,8*,4.00,8,100.00,0,0,2,0,0,0
First-class,8,14,2,55,18,4.58,136,40.44,0,0,6,2,0,0
List A,19,9,3,31,13,5.16,72,43.05,0,0,2,1,4,0
T20s,21,4,2,10,8*,5.00,11,90.90,0,0,2,0,3,0
