,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,49,78,1,3340,338,43.37,4874,68.52,8,14,460,42,54,0
List A,60,59,2,2317,159,40.64,2778,83.40,5,11,275,39,46,1
T20s,36,35,5,1025,99*,34.16,907,113.00,0,8,96,23,21,1
