,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,28,41,9,1003,81*,31.34,1406,71.33,0,6,119,24,19,0
List A,14,11,3,192,45,24.00,158,121.51,0,0,14,9,4,0
T20s,83,44,21,353,36,15.34,259,136.29,0,0,30,9,23,0
